wpi,port,country,size,type,tidal_range,entrance_width,channel_depth,latitude,longitude
40720,Porto Di Corsini,Italy,Medium,Canal or Lake,2.0,0.0,4.9,44.494999999999997,12.291000000000000
40820,Trieste,Italy,Large,Coastal (Breakwater),1.0,0.0,17.1,45.651000000000003,13.746000000000000
41415,Neum,Bosnia and Herzegovina,Small, ,0.0,0.0,0.0,42.916666999999997,17.600000000000001
41640,Bar,Montenegro,Small,Coastal (Breakwater),1.0,0.0,17.1,42.083333000000003,19.083333000000000
41820,Itea,Greece,Very Small,Open Roadstead,0.0,0.0,9.4,38.433332999999998,22.416667000000000
42050,Navplio,Greece,Very Small,Coastal (Breakwater),0.0,0.0,4.9,37.566667000000002,22.800000000000001
42230,Piraievs,Greece,Large,Coastal (Breakwater),0.0,0.0,23.2,37.933332999999998,23.649999999999999
42440,Stilis,Greece,Very Small,Coastal (Natural),0.0,0.0,3.4,38.916666999999997,22.616667000000000
42470,Volos,Greece,Medium,Coastal (Breakwater),1.0,0.0,9.4,39.366667000000000,22.949999999999999
43165,Kali Limenes,Greece,Very Small,Coastal (Natural),1.0,0.0,12.5,34.933332999999998,24.833333000000000
43340,Gemlik,Turkey,Very Small,Open Roadstead,0.0,0.0,0.0,40.416666999999997,29.116667000000000
43565,Danube-Black Sea Canal,Romania,Medium,Canal or Lake,0.0,0.0,6.4,44.266666999999998,28.183333000000001
43745,Chornomors Ke,Ukraine,Very Small,Coastal (Natural),0.0,0.0,7.9,45.516666999999998,32.700000000000003
44070,Rostov-Na-Donu,Russia,Small,River (Basins),4.0,0.0,1.8,47.166666999999997,39.716667000000001
44450,Samsun,Turkey,Large,Coastal (Breakwater),1.0,0.0,11.0,41.299999999999997,36.350000000000001
44460,Sinop,Turkey,Very Small,Open Roadstead,0.0,0.0,3.4,42.049999999999997,35.166666999999997
44500,Eregli,Turkey,Very Small,Coastal (Breakwater),0.0,0.0,20.1,41.299999999999997,31.449999999999999
44650,Bandirma,Turkey,Very Small,Coastal (Breakwater),0.0,0.0,23.2,40.350000000000001,27.966667000000001
44750,Izmir,Turkey,Large,Coastal (Natural),2.0,0.0,9.4,38.433332999999998,27.133333000000000
44805,Marmaris,Turkey,Very Small,Coastal (Breakwater),0.0,0.0,23.2,36.850000000000001,28.283332999999999
44880,Iskenderun,Turkey,Very Small,Coastal (Breakwater),1.0,0.0,11.0,36.600000000000001,36.166666999999997
44970,Famagusta,Cyprus,Small,Coastal (Breakwater),0.0,0.0,9.4,35.116667000000000,33.933332999999998
45100,Ashdod,Israel,Small,Coastal (Breakwater),0.0,0.0,0.0,31.816666999999999,34.649999999999999
45140,Bur Sa'id,Egypt,Large,Canal or Lake,0.0,0.0,14.0,31.266667000000002,32.299999999999997
45151,Damietta,Egypt,Large,Coastal (Breakwater),1.0,0.0,14.0,31.483332999999998,31.750000000000000
45375,Gabes,Tunisia,Small,Coastal (Breakwater),2.0,0.0,12.5,33.899999999999999,10.116667000000000
45420,La Goulette,Tunisia,Medium,Coastal (Breakwater),0.0,0.0,11.0,36.799999999999997,10.300000000000001
45550,Bejaia,Algeria,Small,Coastal (Breakwater),0.0,0.0,14.0,36.750000000000000,5.083333000000000
45570,Alger,Algeria,Large,Coastal (Breakwater),1.0,0.0,18.6,36.766666999999998,3.066667000000000
45610,Tenes,Algeria,Very Small,Open Roadstead,0.0,0.0,23.2,36.533332999999999,1.316667000000000
45730,Ceuta,Spain,Medium,Coastal (Breakwater),1.0,0.0,0.0,35.899999999999999,-5.316667000000000
45753,Tangier-Mediterranean,Morocco,Large,Coastal (Breakwater),0.0,0.0,0.0,35.899999999999999,-5.516667000000000
45755,Tanger,Morocco,Medium,Coastal (Breakwater),2.0,0.0,0.0,35.783332999999999,-5.816667000000000
45793,Casablanca,Morocco,Large,Coastal (Breakwater),4.0,0.0,12.5,33.600000000000001,-7.616667000000000
45796,El Jorf Lasfar,Morocco,Small,Coastal (Breakwater),3.0,0.0,15.5,33.116667000000000,-8.616667000000000
45797,Safi,Morocco,Small,Coastal (Breakwater),3.0,0.0,7.9,32.299999999999997,-9.250000000000000
45809,Laayoune,Western Sahara,Very Small,Coastal (Natural),2.0,0.0,0.0,27.083333000000000,-13.433332999999999
45818,St Louis,Senegal,Small,River (Natural),1.0,0.0,1.8,16.016667000000002,-16.516667000000002
45820,Dakar,Senegal,Medium,Coastal (Breakwater),2.0,0.0,11.0,14.683332999999999,-17.433333000000001
45850,Kamsar,Guinea,Very Small,River (Natural),3.0,0.0,6.4,10.633333000000000,-14.616667000000000
46000,Abidjan,Cote D'Ivoire,Large,Canal or Lake,1.0,200.0,13.5,5.250000000000000,-4.016667000000000
